Question, Option A, Option B, Option C, Option D, Correct Answer,Language,category,difficulty,relation
"What is the French word for ""cow""?", Poulet, Vache, Cheval, Cochon, Vache,French,Vocabulary,Easy,Greetings
"How would you say ""good afternoon"" in French?", Bonsoir, Bonne nuit, Bonjour, Bon appétit, Bonjour,French,Vocabulary,Easy,Clothing
"Translate ""hat"" into French.", Chapeau, Écharpe, Gants, Lunettes de soleil, Chapeau,French,Vocabulary,Easy,Expressions
"What does ""bonne chance"" mean in English?", Good luck, Good morning, Goodbye, Thank you, Good luck,French,Vocabulary,Easy,Numbers
"How do you say ""seven"" in French?", Dix, Six, Cinq, Sept, Sept,French,Vocabulary,Easy,Education
"What is the French word for ""school""?", Maison, Bureau, École, Hôpital, École,French,Vocabulary,Easy,Animals
"Translate ""horse"" into French.", Chien, Chat, Cheval, Oiseau, Cheval,French,Vocabulary,Easy,Feelings
"How would you say ""I am thirsty"" in French?", J'ai soif, J'ai faim, Bonjour, Comment ça va, J'ai soif,French,Vocabulary,Easy,Family
"What is the French word for ""uncle""?", Mère, Sœur, Père, Oncle, Oncle,French,Vocabulary,Easy,Objects
"Translate ""window"" into French.", Porte, Mur, Fenêtre, Toit, Fenêtre,French,Vocabulary,Easy,Greetings
"How do you say ""good evening"" in French?", Bonjour, Bonsoir, Bonne nuit, Au revoir, Bonsoir,French,Vocabulary,Easy,Politeness
"What does ""excusez-moi"" mean in English?", Thank you, Excuse me, Yes, No, Excuse me,French,Vocabulary,Easy,Objects
"Translate ""pencil"" into French.", Crayon, Stylo, Gomme, Cahier, Crayon,French,Vocabulary,Easy,Animals
"What is the French word for ""fish""?", Chien, Chat, Poisson, Oiseau, Poisson,French,Vocabulary,Easy,Plants
"Translate ""flower"" into French.", Arbre, Fleur, Plante, Herbe, Fleur,French,Vocabulary,Easy,Activities
"How would you say ""I like to travel"" in French?", J'aime lire, J'aime voyager, Merci beaucoup, Comment ça va, J'aime voyager,French,Vocabulary,Easy,Family
Question, Option A, Option B, Option C, Option D, Correct Answer,French,Vocabulary,Easy,Numbers
"What is the French word for ""sister""?", Frère, Sœur, Mère, Père, Sœur,French,Vocabulary,Easy,Language
"How do you say ""one"" in French?", Deux, Trois, Quatre, Un, Un,French,Vocabulary,Easy,Clothing
"Which of the following means ""what's your name?"" in French?", Comment t'appelles-tu ?, Où habites-tu ?, Quel âge as-tu ?, Comment vas-tu ?, Comment t'appelles-tu ?,French,Vocabulary,Easy,Family
"Translate ""hat"" into French.", Robe, Chapeau, Chaussures, Jupe, Chapeau,French,Vocabulary,Easy,Politeness
"What is the French word for ""grandmother""?", Grand-père, Mère, Grand-mère, Père, Grand-mère,French,Vocabulary,Easy,Furniture
"How would you say ""excuse me"" in French?", Bonjour, S'il vous plaît, Excusez-moi, Merci, Excusez-moi,French,Vocabulary,Easy,Politeness
"Translate ""table"" into French.", Chaise, Lit, Table, Bureau, Table,French,Vocabulary,Easy,Numbers
"What does ""merci beaucoup"" mean in English?", Thank you very much, Hello, Goodbye, Please, Thank you very much,French,Vocabulary,Easy,Family
"How do you say ""two"" in French?", Un, Deux, Trois, Quatre, Deux,French,Vocabulary,Easy,Transport
"What is the French word for ""aunt""?", Mère, Tante, Père, Sœur, Tante,French,Vocabulary,Easy,Feelings
"Translate ""bus"" into French.", Train, Avion, Bus, Voiture, Bus,French,Vocabulary,Easy,Family
"How would you say ""I am cold"" in French?", Je suis fatigué, J'ai froid, Bonjour, Comment ça va, J'ai froid,French,Vocabulary,Easy,Furniture
"What is the French word for ""cousin""?", Frère, Sœur, Père, Cousin, Cousin,French,Vocabulary,Easy,Partings
"Translate ""bed"" into French.", Chaise, Lit, Bureau, Placard, Lit,French,Vocabulary,Easy,Expressions
"How do you say ""goodbye"" in French?", Bonjour, Merci, Au revoir, S'il vous plaît, Au revoir,French,Vocabulary,Easy,Food
"What does ""bon appétit"" mean in English?", Good night, Good morning, Goodbye, Enjoy your meal, Enjoy your meal,French,Vocabulary,Easy,Animals
"Translate ""juice"" into French.", Eau, Jus d'orange, Lait, Thé, Jus d'orange,French,Vocabulary,Easy,Objects
"What is the French word for ""rabbit""?", Oiseau, Lapin, Chien, Chat, Lapin,French,Vocabulary,Easy,Food
"Translate ""book"" into French.", Carnet, Livre, Stylo, Crayon, Livre,French,Vocabulary,Easy,Actions
"How would you say ""I want to eat"" in French?", J'ai faim, J'ai soif, Je veux dormir, Comment ça va, J'ai faim,French,Vocabulary,Easy,Attributes
"What is the Dutch word for ""to accomplish""?", Volbrengen, Bereiken, Voltooien, Slagen, Volbrengen,Dutch,Vocabulary,Easy,Attributes
"Translate ""resilience"" into Dutch.", Veerkracht, Flexibiliteit, Incasseringsvermogen, Doorzettingsvermogen, Veerkracht,Dutch,Vocabulary,Easy,Emotions
"What does ""verantwoordelijkheid"" mean in English?", Responsibility, Respect, Reliability, Authority, Responsibility,Dutch,Vocabulary,Easy,Emotions
"Translate ""forgiveness"" into Dutch.", Vergeving, Genade, Spijt, Wraak, Vergeving,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""compassion""?", Mededogen, Medelijden, Empathie, Liefdadigheid, Mededogen,Dutch,Vocabulary,Easy,Characteristics
"Translate ""perseverance"" into Dutch.", Doorzettingsvermogen, Geduld, Veerkracht, Uithoudingsvermogen, Doorzettingsvermogen,Dutch,Vocabulary,Easy,Characteristics
"What does ""grondig"" mean in English?", Thorough, Superficial, Rough, Quick, Thorough,Dutch,Vocabulary,Easy,Attributes
"Translate ""ambitious"" into Dutch.", Ambitieus, Gedreven, Hoogmoedig, Onverschillig, Ambitieus,Dutch,Vocabulary,Easy,Actions
"What is the Dutch word for ""integrity""?", Integriteit, Eerlijkheid, Ethisch, Betrouwbaarheid, Integriteit,Dutch,Vocabulary,Easy,Traits
"Translate ""to innovate"" into Dutch.", Innoveren, Vernieuwen, Creëren, Verbeteren, Innoveren,Dutch,Vocabulary,Easy,Actions
"What does ""vrijgevigheid"" mean in English?", Generosity, Kindness, Abundance, Charity, Generosity,Dutch,Vocabulary,Easy,Attributes
"Translate ""to succeed"" into Dutch.", Slagen, Succes behalen, Bereiken, Winnen, Slagen,Dutch,Vocabulary,Easy,Concepts
"What is the Dutch word for ""determination""?", Vastberadenheid, Toewijding, Doelgerichtheid, Discipline, Vastberadenheid,Dutch,Vocabulary,Easy,Traits
"Translate ""perspective"" into Dutch.", Perspectief, Standpunt, Visie, Kijk, Perspectief,Dutch,Vocabulary,Easy,Attributes
"What does ""moed"" mean in English?", Courage, Fear, Cowardice, Bravery, Courage,Dutch,Vocabulary,Easy,Attributes
"Translate ""wisdom"" into Dutch.", Wijsheid, Kennis, Inzicht, Eruditie, Wijsheid,Dutch,Vocabulary,Easy,Obstacles
"What is the Dutch word for ""persistence""?", Volharding, Standvastigheid, Doorzettingsvermogen, Insistentie, Volharding,Dutch,Vocabulary,Easy,Attitude
"Translate ""challenge"" into Dutch.", Uitdaging, Probleem, Test, Doel, Uitdaging,Dutch,Vocabulary,Easy,Characteristics
"What does ""optimisme"" mean in English?", Optimism, Pessimism, Realism, Hope, Optimism,Dutch,Vocabulary,Easy,Success
"Translate ""discipline"" into Dutch.", Discipline, Orde, Regels, Hard werken, Discipline,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""achievement""?", Prestatie, Succes, Overwinning, Resultaat, Prestatie,Dutch,Vocabulary,Easy,Emotions
"Translate ""resilience"" into Dutch.", Veerkracht, Weerbaarheid, Flexibiliteit, Hartheid, Veerkracht,Dutch,Vocabulary,Easy,Emotions
"What does ""begrip"" mean in English?", Understanding, Ignorance, Misunderstanding, Confusion, Understanding,Dutch,Vocabulary,Easy,Emotions
"Translate ""gratitude"" into Dutch.", Dankbaarheid, Erkenning, Waardering, Loyaliteit, Dankbaarheid,Dutch,Vocabulary,Easy,Actions
"What is the Dutch word for ""compassion""?", Mededogen, Liefde, Genade, Empathie, Mededogen,Dutch,Vocabulary,Easy,Attributes
"Translate ""to lead"" into Dutch.", Leiden, Volgen, Sturen, Gaan, Leiden,Dutch,Vocabulary,Easy,Emotions
"What does ""volharding"" mean in English?", Perseverance, Patience, Endurance, Determination, Perseverance,Dutch,Vocabulary,Easy,Attributes
"Translate ""passion"" into Dutch.", Passie, Liefde, Verlangen, Hartstocht, Passie,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""commitment""?", Toewijding, Engagement, Inzet, Betrokkenheid, Toewijding,Dutch,Vocabulary,Easy,Traits
"Translate ""persistence"" into Dutch.", Volharding, Doorzettingsvermogen, Standvastigheid, Vastberadenheid, Volharding,Dutch,Vocabulary,Easy,Characteristics
"What does ""inzicht"" mean in English?", Insight, Oversight, Hindsight, Foresight, Insight,Dutch,Vocabulary,Easy,Attributes
"Translate ""bravery"" into Dutch.", Dapperheid, Moed, Sterkte, Kracht, Dapperheid,Dutch,Vocabulary,Easy,Emotions
"What is the Dutch word for ""dedication""?", Toewijding, Inzet, Toewijding, Vastberadenheid, Toewijding,Dutch,Vocabulary,Easy,Traits
"Translate ""passion"" into Dutch.", Passie, Inzet, Devotie, Hartstocht, Passie,Dutch,Vocabulary,Easy,Attributes
"What does ""verdraagzaamheid"" mean in English?", Tolerance, Intolerance, Respect, Acceptance, Tolerance,Dutch,Vocabulary,Easy,Attributes
"Translate ""wisdom"" into Dutch.", Wijsheid, Kennis, Eruditie, Inzicht, Wijsheid,Dutch,Vocabulary,Easy,Emotions
"What is the Dutch word for ""understanding""?", Begrip, Kennis, Vaardigheid, Inzicht, Begrip,Dutch,Vocabulary,Easy,Challenge
"Translate ""inspiration"" into Dutch.", Inspiratie, Idee, Creativiteit, Motivatie, Inspiratie,Dutch,Vocabulary,Easy,Actions
"What does ""uitdaging"" mean in English?", Challenge, Difficulty, Problem, Obstacle, Challenge,Dutch,Vocabulary,Easy,Attributes
"Translate ""to achieve"" into Dutch.", Bereiken, Behalen, Realiseren, Voltooien, Bereiken,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""bravery""?", Dapperheid, Sterkte, Moed, Kracht, Dapperheid,Dutch,Vocabulary,Easy,Attributes
"Translate ""determination"" into Dutch.", Vastberadenheid, Besluitvaardigheid, Doelgerichtheid, Standvastigheid, Vastberadenheid,Dutch,Vocabulary,Easy,Attributes
"What does ""verantwoordelijkheid"" mean in English?", Responsibility, Accountability, Duty, Obligation, Responsibility,Dutch,Vocabulary,Easy,Actions
"Translate ""resilience"" into Dutch.", Veerkracht, Standvastigheid, Weerbaarheid, Doorzettingsvermogen, Veerkracht,Dutch,Vocabulary,Easy,Actions
"What is the Dutch word for ""compromise""?", compromis, overeenkomst, schikking, akkoord, compromis,Dutch,Vocabulary,Easy,Emotions
"Translate ""to empower"" into Dutch.", machtigen, versterken, bekrachtigen, autoriseren, versterken,Dutch,Vocabulary,Easy,Actions
"What does ""bevlogenheid"" mean in English?", Enthusiasm, Exhaustion, Apathy, Indifference, Enthusiasm,Dutch,Vocabulary,Easy,Attributes
"Translate ""to accomplish"" into Dutch.", Volbrengen, Verwezenlijken, Uitvoeren, Afmaken, Volbrengen,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""dedication""?", Toewijding, Inzet, Toewijding, Vastberadenheid, Toewijding,Dutch,Vocabulary,Easy,Attributes
"Translate ""commitment"" into Dutch.", Toewijding, Engagement, Betrokkenheid, Verplichting, Toewijding,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""excellence""?", Uitmuntendheid, Voortreffelijkheid, Excellentie, Superieuriteit, Uitmuntendheid,Dutch,Vocabulary,Easy,Characteristics
"Translate ""efficacy"" into Dutch.", Doeltreffendheid, Effectiviteit, Efficiëntie, Werkzaamheid, Doeltreffendheid,Dutch,Vocabulary,Easy,Actions
"What does ""gewetensvol"" mean in English?", Conscientious, Careless, Unreliable, Lazy, Conscientious,Dutch,Vocabulary,Easy,Attributes
"Translate ""to persevere"" into Dutch.", Volharden, Standhouden, Doorzetten, Volhouden, Volharden,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""authenticity""?", Authenticiteit, Echtheid, Oorspronkelijkheid, Betrouwbaarheid, Authenticiteit,Dutch,Vocabulary,Easy,Attributes
"Translate ""resilience"" into Dutch.", Weerbaarheid, Veerkracht, Standvastigheid, Onbuigzaamheid, Veerkracht,Dutch,Vocabulary,Easy,Actions
"What does ""standvastigheid"" mean in English?", Steadfastness, Flexibility, Inconstancy, Impulsiveness, Steadfastness,Dutch,Vocabulary,Easy,Attributes
"Translate ""to transcend"" into Dutch.", Overstijgen, Zich onderscheiden, Voorbijgaan, Verleggen, Overstijgen,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""competence""?", Bekwaamheid, Vaardigheid, Geschiktheid, Capabelheid, Bekwaamheid,Dutch,Vocabulary,Easy,Attributes
"Translate ""fortitude"" into Dutch.", Standvastigheid, Moed, Weerbaarheid, Vastberadenheid, Moed,Dutch,Vocabulary,Easy,Attributes
"What does ""moedig"" mean in English?", Brave, Afraid, Cowardly, Fearful, Brave,Dutch,Vocabulary,Easy,Traits
"Translate ""to innovate"" into Dutch.", Innoveren, Vernieuwen, Creëren, Veranderen, Innoveren,Dutch,Vocabulary,Easy,Actions
"What is the Dutch word for ""perseverance""?", Volharding, Doorzettingsvermogen, Vastberadenheid, Onverzettelijkheid, Volharding,Dutch,Vocabulary,Easy,Attributes
"Translate ""equanimity"" into Dutch.", Gelijkmoedigheid, Berusting, Vastberadenheid, Onverschilligheid, Gelijkmoedigheid,Dutch,Vocabulary,Easy,Emotions
"What does ""tactvol"" mean in English?", Tactful, Rude, Blunt, Insensitive, Tactful,Dutch,Vocabulary,Easy,Communication
"Translate ""to achieve"" into Dutch.", Bereiken, Behalen, Realiseren, Verwezenlijken, Bereiken,Dutch,Vocabulary,Easy,Actions
"What is the Dutch word for ""integrity""?", Integriteit, Eerlijkheid, Betrouwbaarheid, Onkreukbaarheid, Integriteit,Dutch,Vocabulary,Easy,Attributes
"Translate ""empowerment"" into Dutch.", Machtiging, Versterking, Bevordering, Interpretatie, Versterking,Dutch,Vocabulary,Easy,Actions
"What does ""moed"" mean in English?", Courage, Fear, Cowardice, Timidity, Courage,Dutch,Vocabulary,Easy,Traits
"Translate ""persistence"" into Dutch.", Volharding, Standvastigheid, Onwrikbaarheid, Aanhoudendheid, Volharding,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""perseverance""?", Doorzettingsvermogen, Vasthoudendheid, Volharding, Standvastigheid, Doorzettingsvermogen,Dutch,Vocabulary,Easy,Attributes
"Translate ""fortitude"" into Dutch.", Moed, Standvastigheid, Dapperheid, Standhaftigheid, Moed,Dutch,Vocabulary,Easy,Emotions
"What does ""gewetensvolheid"" mean in English?", Conscientiousness, Carelessness, Negligence, Sloppiness, Conscientiousness,Dutch,Vocabulary,Easy,Traits
"Translate ""resilience"" into Dutch.", Veerkracht, Weerbaarheid, Standvastigheid, Incasseringsvermogen, Veerkracht,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""accountability""?", Verantwoordelijkheid, Aansprakelijkheid, Verantwoording, Betrouwbaarheid, Verantwoordelijkheid,Dutch,Vocabulary,Easy,Attributes
"Translate ""individuality"" into Dutch.", Individualiteit, Uniekheid, Persoonlijkheid, Singulariteit, Individualiteit,Dutch,Vocabulary,Easy,Attributes
"What does ""daadkracht"" mean in English?", Determination, Decisiveness, Purposiveness, Initiative, Determination,Dutch,Vocabulary,Easy,Traits
"Translate ""to excel"" into Dutch.", Uitblinken, Overstijgen, Presteer, Uitmuntendheid bereiken, Uitblinken,Dutch,Vocabulary,Easy,Actions
"What is the Dutch word for ""competence""?", Bekwaamheid, Capaciteit, Bekrachtiging, Competentie, Bekwaamheid,Dutch,Vocabulary,Easy,Attributes
"Translate ""accountability"" into Dutch.", Verantwoordelijkheid, Aansprakelijkheid, Responsabiliteit, Inzichtelijkheid, Verantwoordelijkheid,Dutch,Vocabulary,Easy,Attributes
"What does ""zorgvuldigheid"" mean in English?", Carefulness, Sloppiness, Negligence, Carelesslessness, Carefulness,Dutch,Vocabulary,Easy,Traits
"Translate ""virtue"" into Dutch.", Deugd, Tucht, Voortreffelijkheid, Verdienste, Deugd,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""authenticity""?", Authenticiteit, Oorspronkelijkheid, Betrouwbaarheid, Echtheid, Authenticiteit,Dutch,Vocabulary,Easy,Attributes
"Translate ""accountability"" into Dutch.", Verantwoording, Aansprakelijkheid, Berekenbaarheid, Verantwoordelijkheid, Verantwoordelijkheid,Dutch,Vocabulary,Easy,Attributes
"What does ""volharding"" mean in English?", Perseverance, Persistence, Endurance, Steadfastness, Perseverance,Dutch,Vocabulary,Easy,Attributes
"Translate ""excellence"" into Dutch.", Uitmuntendheid, Voortreffelijkheid, Excellentie, Superieuriteit, Uitmuntendheid,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""charity""?", Liefdadigheid, Genade, Goedheid, Gulle gave, Liefdadigheid,Dutch,Vocabulary,Easy,Attributes
"Translate ""virtue"" into Dutch.", Deugd, Goedheid, Nobelheid, Kwaliteit, Deugd,Dutch,Vocabulary,Easy,Attributes
"What does ""autonoom"" mean in English?", Autonomous, Dependent, Sovereign, Independent, Autonomous,Dutch,Vocabulary,Easy,Traits
"Translate ""valor"" into Dutch.", Dapperheid, Heldhaftigheid, Strijdvaardigheid, Moed, Dapperheid,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""altruism""?", Altruïsme, Betrokkenheid, Mededogen, Belangeloosheid, Altruïsme,Dutch,Vocabulary,Easy,Attributes
"Translate ""conscience"" into Dutch.", Geweten, Schuldgevoel, Zonde, Moreel, Geweten,Dutch,Vocabulary,Easy,Attributes
"What does ""verrijking"" mean in English?", Enrichment, Empowerment, Advancement, Improvement, Enrichment,Dutch,Vocabulary,Easy,Emotions
"Translate ""righteousness"" into Dutch.", Rechtvaardigheid, Goedheid, Moraliteit, Zedigheid, Rechtvaardigheid,Dutch,Vocabulary,Easy,Attributes
"What is the Dutch word for ""persistence""?", Volharding, Standvastigheid, Doorzettingsvermogen, Vastberadenheid, Volharding,Dutch,Vocabulary,Easy,Attributes
"Translate ""serenity"" into Dutch.", Sereniteit, Rustigheid, Kalmte, Vrede, Sereniteit,Dutch,Vocabulary,Easy,Emotions
"What does ""verdraagzaamheid"" mean in English?", Tolerance, Acceptance, Patience, Leniency, Tolerance,Dutch,Vocabulary,Easy,Traits
"Translate ""fortitude"" into Dutch.", Standvastigheid, Moed, Weerbaarheid, Vastberadenheid, Moed,Dutch,Vocabulary,Easy,Emotions
"What is the Dutch word for ""responsibility""?", Verantwoordelijkheid, Aansprakelijkheid, Opdracht, Plicht, Verantwoordelijkheid,Dutch,Vocabulary,Easy,Attributes
"Translate ""fortitude"" into Dutch.", Moed, Standvastigheid, Weerbaarheid, Vastberadenheid, Moed,Dutch,Vocabulary,Easy,Emotions
"What is the Dutch word for ""good evening""?", Goedenavond, Hallo, Dag, Goedemiddag, Goedenavond,Dutch,Vocabulary,Easy,Greetings
"Translate ""to travel"" into Dutch.", Reizen, Werken, Slapen, Eten, Reizen,Dutch,Vocabulary,Easy,Actions
"How do you say ""I don't understand"" in Dutch?", Ik begrijp het niet, Ik ben moe, Ik heb honger, Ik ben blij, Ik begrijp het niet,Dutch,Vocabulary,Easy,Communication
"What is the Dutch word for ""beautiful""?", Mooi, Leuk, Groot, Snel, Mooi,Dutch,Vocabulary,Easy,Appearance
"Translate ""to study"" into Dutch.", Studeren, Sporten, Slapen, Werken, Studeren,Dutch,Vocabulary,Easy,Actions
"What does ""gelukkig"" mean in English?", Happy, Sad, Angry, Tired, Happy,Dutch,Vocabulary,Easy,Emotions
"What is the Dutch word for ""computer""?", Computer, Telefoon, Auto, Boek, Computer,Dutch,Vocabulary,Easy,Technology
"Translate ""to listen"" into Dutch.", Luisteren, Lezen, Spreken, Schrijven, Luisteren,Dutch,Vocabulary,Easy,Actions
"How would you say ""I need to sleep"" in Dutch?", Ik moet slapen, Ik wil eten, Ik ben blij, Ik heb hulp nodig, Ik moet slapen,Dutch,Vocabulary,Easy,Actions
"What is the Dutch word for ""time""?", Tijd, Dag, Jaar, Maand, Tijd,Dutch,Vocabulary,Easy,Concepts
"Translate ""to buy"" into Dutch.", Kopen, Verkopen, Geven, Ontvangen, Kopen,Dutch,Vocabulary,Easy,Actions
"What does ""aankomst"" mean in English?", Arrival, Departure, Station, Ticket, Arrival,Dutch,Vocabulary,Easy,Travel
"What is the Dutch word for ""language""?", Taal, Land, Stad, Boek, Taal,Dutch,Vocabulary,Easy,Education
"Translate ""airplane"" into Dutch.", Vliegtuig, Trein, Auto, Boot, Vliegtuig,Dutch,Vocabulary,Easy,Transport
"How do you say ""where is the train station?"" in Dutch?", Waar is het treinstation?, Hoe gaat het met jou?, Wat is je naam?, Wanneer gaan we eten?, Waar is het treinstation?,Dutch,Vocabulary,Easy,Travel
"What is the Dutch word for ""to eat""?", Eten, Drinken, Slapen, Lezen, Eten,Dutch,Vocabulary,Easy,Actions
"Translate ""conversation"" into Dutch.", Gesprek, Discussie, Debat, Vraag, Gesprek,Dutch,Vocabulary,Easy,Communication
"What does ""vriendelijk"" mean in English?", Friendly, Angry, Sad, Tired, Friendly,Dutch,Vocabulary,Easy,Traits
"What is the Dutch word for ""city""?", Stad, Dorp, Land, Zee, Stad,Dutch,Vocabulary,Easy,Places
"Translate ""to wait"" into Dutch.", Wachten, Haasten, Haalen, Opzoeken, Wachten,Dutch,Vocabulary,Easy,Actions
"How would you say ""I like it"" in Dutch?", Ik vind het leuk, Ik ben boos, Ik wil eten, Ik ben verdrietig, Ik vind het leuk,Dutch,Vocabulary,Easy,Feelings
"What is the Dutch word for ""to work""?", Werken, Studeren, Sporten, Slapen, Werken,Dutch,Vocabulary,Easy,Actions
"Translate ""holiday"" into Dutch.", Vakantie, Feestdag, Werkdag, School, Vakantie,Dutch,Vocabulary,Easy,Time
"What does ""huisdier"" mean in English?", Pet, Wild animal, Farm animal, Zoo animal, Pet,Dutch,Vocabulary,Easy,Animals
"What is the Dutch word for ""to speak""?", Spreken, Luisteren, Kijken, Lezen, Spreken,Dutch,Vocabulary,Easy,Actions
"Translate ""friendship"" into Dutch.", Vriendschap, Liefde, Haat, Ruzie, Vriendschap,Dutch,Vocabulary,Easy,Relationships
"How do you say ""please"" in Dutch?", Alsjeblieft, Dank je, Sorry, Hallo, Alsjeblieft,Dutch,Vocabulary,Easy,Politeness
"What is the Dutch word for ""to help""?", Helpen, Winnen, Vechten, Verliezen, Helpen,Dutch,Vocabulary,Easy,Actions
"Translate ""street"" into Dutch.", Straat, Weg, Pad, Sloot, Straat,Dutch,Vocabulary,Easy,Places
"What does ""geweldig"" mean in English?", Amazing, Terrible, Ordinary, Boring, Amazing,Dutch,Vocabulary,Easy,Emotions
"What is the Dutch word for ""to listen""?", Luisteren, Kijken, Lezen, Spreken, Luisteren,Dutch,Vocabulary,Easy,Actions
"Translate ""family"" into Dutch.", Familie, Vrienden, Collega's, Buren, Familie,Dutch,Vocabulary,Easy,Relationships
"What does ""vandaag"" mean in English?", Today, Tomorrow, Yesterday, Week, Today,Dutch,Vocabulary,Easy,Time
"What is the Dutch word for ""to travel""?", Reizen, Werken, Slapen, Eten, Reizen,Dutch,Vocabulary,Easy,Actions
"Translate ""bookstore"" into Dutch.", Boekwinkel, Markt, Cafe, Bioscoop, Boekwinkel,Dutch,Vocabulary,Easy,Places
"How would you say ""I am tired"" in Dutch?", Ik ben moe, Ik ben blij, Ik wil eten, Ik ben verdrietig, Ik ben moe,Dutch,Vocabulary,Easy,Feelings
"What is the Dutch word for ""to read""?", Lezen, Schrijven, Luisteren, Spreken, Lezen,Dutch,Vocabulary,Easy,Actions
"Translate ""to dance"" into Dutch.", Dansen, Zingen, Springen, Rennen, Dansen,Dutch,Vocabulary,Easy,Actions
"What does ""zonsopgang"" mean in English?", Sunrise, Sunset, Morning, Evening, Sunrise,Dutch,Vocabulary,Easy,Nature
"What is the Dutch word for ""to drink""?", Drinken, Eten, Slapen, Lezen, Drinken,Dutch,Vocabulary,Easy,Actions
"Translate ""sea"" into Dutch.", Zee, Meer, Rivier, Oceaan, Zee,Dutch,Vocabulary,Easy,Nature
"How do you say ""good night"" in Dutch?", Goedenacht, Goedemorgen, Tot ziens, Hallo, Goedenacht,Dutch,Vocabulary,Easy,Greetings
"What is the Dutch word for ""job""?", Baan, School, Vakantie, Feest, Baan,Dutch,Vocabulary,Easy,Work
"Translate ""hotel"" into Dutch.", Hotel, Restaurant, Bibliotheek, Zwembad, Hotel,Dutch,Vocabulary,Easy,Places
"What does ""gelukkig"" mean in English?", Happy, Sad, Angry, Tired, Happy,Dutch,Vocabulary,Easy,Feelings
"What is the Dutch word for ""watch""?", Horloge, Ring, Armband, Ketting, Horloge,Dutch,Vocabulary,Easy,Objects
"Translate ""summer"" into Dutch.", Zomer, Winter, Lente, Herfst, Zomer,Dutch,Vocabulary,Easy,Seasons
"How would you say ""I need help"" in Dutch?", Ik heb hulp nodig, Ik wil eten, Ik ben verdrietig, Ik ben blij, Ik heb hulp nodig,Dutch,Vocabulary,Easy,Assistance
"What is the Dutch word for ""to run""?", Rennen, Wandelen, Fietsen, Zwemmen, Rennen,Dutch,Vocabulary,Easy,Actions
"Translate ""weather"" into Dutch.", Weer, Wind, Zon, Regen, Weer,Dutch,Vocabulary,Easy,Nature
"What does ""vrolijk"" mean in English?", Happy, Sad, Angry, Tired, Happy,Dutch,Vocabulary,Easy,Emotions
"What is the Dutch word for ""to play""?", Spelen, Werken, Studeren, Slapen, Spelen,Dutch,Vocabulary,Easy,Actions
"Translate ""apartment"" into Dutch.", Appartement, Huis, Flat, Villa, Appartement,Dutch,Vocabulary,Easy,Places
"How do you say ""please"" in Dutch?", Alsjeblieft, Dank je, Sorry, Hallo, Alsjeblieft,Dutch,Vocabulary,Easy,Politeness
"What is the Dutch word for ""family""?", Familie, Vrienden, Collega's, Buren, Familie,Dutch,Vocabulary,Easy,Relationships
"Translate ""city"" into Dutch.", Stad, Dorp, Land, Zee, Stad,Dutch,Vocabulary,Easy,Places
"What does ""lekker eten"" mean in English?", Delicious food, Bad weather, Fast car, Big house, Delicious food,Dutch,Vocabulary,Easy,Food
"What is the Dutch word for ""summer""?", Zomer, Winter, Herfst, Lente, Zomer,Dutch,Vocabulary,Easy,Seasons
"Translate ""friend"" into Dutch.", Vriend, Familie, Vriendin, Collega, Vriend,Dutch,Vocabulary,Easy,Relationships
"How would you say ""I am happy"" in Dutch?", Ik ben blij, Ik ben verdrietig, Ik ben boos, Ik ben moe, Ik ben blij,Dutch,Vocabulary,Easy,Feelings
"What is the Dutch word for ""dog""?", Hond, Kat, Vogel, Vis, Hond,Dutch,Vocabulary,Easy,Animals
"Translate ""to sing"" into Dutch.", Zingen, Spelen, Dansen, Spreken, Zingen,Dutch,Vocabulary,Easy,Actions
"What does ""huis"" mean in English?", House, Car, Tree, River, House,Dutch,Vocabulary,Easy,Objects
"What is the Dutch word for ""to study""?", Studeren, Werken, Sporten, Slapen, Studeren,Dutch,Vocabulary,Easy,Education
"Translate ""book"" into Dutch.", Boek, Tafel, Stoel, Bank, Boek,Dutch,Vocabulary,Easy,Objects
"What does ""moeder"" mean in English?", Mother, Father, Sister, Brother, Mother,Dutch,Vocabulary,Easy,Family
"What is the Dutch word for ""to eat""?", Eten, Drinken, Slapen, Lezen, Eten,Dutch,Vocabulary,Easy,Actions
"Translate ""school"" into Dutch.", School, Werk, Huis, Markt, School,Dutch,Vocabulary,Easy,Education
